1968-01-01,1968-07-04,1968-12-25
1969-01-01,1969-07-04,1969-12-25
1970-01-01,1970-07-04,1970-12-25
1971-01-01,1971-02-15,1971-05-31,1971-07-05,1971-09-06,1971-10-11,1971-10-25,1971-11-25,1971-12-25
1972-01-01,1972-02-21,1972-05-29,1972-07-04,1972-09-04,1972-10-09,1972-10-23,1972-11-23,1972-12-25
1973-01-01,1973-02-19,1973-05-28,1973-07-04,1973-09-03,1973-10-08,1973-10-22,1973-11-22,1973-12-25
1974-01-01,1974-02-18,1974-05-27,1974-07-04,1974-09-02,1974-10-14,1974-10-28,1974-11-28,1974-12-25
1975-01-01,1975-02-17,1975-05-26,1975-07-04,1975-09-01,1975-10-13,1975-10-27,1975-11-27,1975-12-25
1976-01-01,1976-02-16,1976-05-31,1976-07-05,1976-09-06,1976-10-11,1976-10-25,1976-11-25,1976-12-25
1977-01-01,1977-02-21,1977-05-30,1977-07-04,1977-09-05,1977-10-10,1977-10-24,1977-11-24,1977-12-26
1978-01-02,1978-02-20,1978-05-29,1978-07-04,1978-09-04,1978-10-09,1978-11-11,1978-11-23,1978-12-25
1979-01-01,1979-02-19,1979-05-28,1979-07-04,1979-09-03,1979-10-08,1979-11-12,1979-11-22,1979-12-25
1980-01-01,1980-02-18,1980-05-26,1980-07-04,1980-09-01,1980-10-13,1980-11-11,1980-11-27,1980-12-25
1981-01-01,1981-02-16,1981-05-25,1981-07-04,1981-09-07,1981-10-12,1981-11-11,1981-11-26,1981-12-25
1982-01-01,1982-02-15,1982-05-31,1982-07-05,1982-09-06,1982-10-11,1982-11-11,1982-11-25,1982-12-25
1983-01-01,1983-02-21,1983-05-30,1983-07-04,1983-09-05,1983-10-10,1983-11-11,1983-11-24,1983-12-26
1984-01-02,1984-02-20,1984-05-28,1984-07-04,1984-09-03,1984-10-08,1984-11-12,1984-11-22,1984-12-25
1985-01-01,1985-02-18,1985-05-27,1985-07-04,1985-09-02,1985-10-14,1985-11-11,1985-11-28,1985-12-25
1986-01-01,1986-01-20,1986-02-17,1986-05-26,1986-07-04,1986-09-01,1986-10-13,1986-11-11,1986-11-27,1986-12-25
1987-01-01,1987-01-19,1987-02-16,1987-05-25,1987-07-04,1987-09-07,1987-10-12,1987-11-11,1987-11-26,1987-12-25
1988-01-01,1988-01-18,1988-02-15,1988-05-30,1988-07-04,1988-09-05,1988-10-10,1988-11-11,1988-11-24,1988-12-26
1989-01-02,1989-01-16,1989-02-20,1989-05-29,1989-07-04,1989-09-04,1989-10-09,1989-11-11,1989-11-23,1989-12-25
1990-01-01,1990-01-15,1990-02-19,1990-05-28,1990-07-04,1990-09-03,1990-10-08,1990-11-12,1990-11-22,1990-12-25
1991-01-01,1991-01-21,1991-02-18,1991-05-27,1991-07-04,1991-09-02,1991-10-14,1991-11-11,1991-11-28,1991-12-25
1992-01-01,1992-01-20,1992-02-17,1992-05-25,1992-07-04,1992-09-07,1992-10-12,1992-11-11,1992-11-26,1992-12-25
1993-01-01,1993-01-18,1993-02-15,1993-05-31,1993-07-05,1993-09-06,1993-10-11,1993-11-11,1993-11-25,1993-12-25
1994-01-01,1994-01-17,1994-02-21,1994-05-30,1994-07-04,1994-09-05,1994-10-10,1994-11-11,1994-11-24,1994-12-26
1995-01-02,1995-01-16,1995-02-20,1995-05-29,1995-07-04,1995-09-04,1995-10-09,1995-11-11,1995-11-23,1995-12-25
1996-01-01,1996-01-15,1996-02-19,1996-05-27,1996-07-04,1996-09-02,1996-10-14,1996-11-11,1996-11-28,1996-12-25
1997-01-01,1997-01-20,1997-02-17,1997-05-26,1997-07-04,1997-09-01,1997-10-13,1997-11-11,1997-11-27,1997-12-25
1998-01-01,1998-01-19,1998-02-16,1998-05-25,1998-07-04,1998-09-07,1998-10-12,1998-11-11,1998-11-26,1998-12-25
1999-01-01,1999-01-18,1999-02-15,1999-05-31,1999-07-05,1999-09-06,1999-10-11,1999-11-11,1999-11-25,1999-12-25
2000-01-01,2000-01-17,2000-02-21,2000-05-29,2000-07-04,2000-09-04,2000-10-09,2000-11-11,2000-11-23,2000-12-25
2001-01-01,2001-01-15,2001-02-19,2001-05-28,2001-07-04,2001-09-03,2001-10-08,2001-11-12,2001-11-22,2001-12-25
2002-01-01,2002-01-21,2002-02-18,2002-05-27,2002-07-04,2002-09-02,2002-10-14,2002-11-11,2002-11-28,2002-12-25
2003-01-01,2003-01-20,2003-02-17,2003-05-26,2003-07-04,2003-09-01,2003-10-13,2003-11-11,2003-11-27,2003-12-25
2004-01-01,2004-01-19,2004-02-16,2004-05-31,2004-07-05,2004-09-06,2004-10-11,2004-11-11,2004-11-25,2004-12-25
2005-01-01,2005-01-17,2005-02-21,2005-05-30,2005-07-04,2005-09-05,2005-10-10,2005-11-11,2005-11-24,2005-12-26
2006-01-02,2006-01-16,2006-02-20,2006-05-29,2006-07-04,2006-09-04,2006-10-09,2006-11-11,2006-11-23,2006-12-25
2007-01-01,2007-01-15,2007-02-19,2007-05-28,2007-07-04,2007-09-03,2007-10-08,2007-11-12,2007-11-22,2007-12-25
2008-01-01,2008-01-21,2008-02-18,2008-05-26,2008-07-04,2008-09-01,2008-10-13,2008-11-11,2008-11-27,2008-12-25
2009-01-01,2009-01-19,2009-02-16,2009-05-25,2009-07-04,2009-09-07,2009-10-12,2009-11-11,2009-11-26,2009-12-25
2010-01-01,2010-01-18,2010-02-15,2010-05-31,2010-07-05,2010-09-06,2010-10-11,2010-11-11,2010-11-25,2010-12-25
2011-01-01,2011-01-17,2011-02-21,2011-05-30,2011-07-04,2011-09-05,2011-10-10,2011-11-11,2011-11-24,2011-12-26
2012-01-02,2012-01-16,2012-02-20,2012-05-28,2012-07-04,2012-09-03,2012-10-08,2012-11-12,2012-11-22,2012-12-25
2013-01-01,2013-01-21,2013-02-18,2013-05-27,2013-07-04,2013-09-02,2013-10-14,2013-11-11,2013-11-28,2013-12-25
2014-01-01,2014-01-20,2014-02-17,2014-05-26,2014-07-04,2014-09-01,2014-10-13,2014-11-11,2014-11-27,2014-12-25
2015-01-01,2015-01-19,2015-02-16,2015-05-25,2015-07-04,2015-09-07,2015-10-12,2015-11-11,2015-11-26,2015-12-25
2016-01-01,2016-01-18,2016-02-15,2016-05-30,2016-07-04,2016-09-05,2016-10-10,2016-11-11,2016-11-24,2016-12-26
2017-01-02,2017-01-16,2017-02-20,2017-05-29,2017-07-04,2017-09-04,2017-10-09,2017-11-11,2017-11-23,2017-12-25
2018-01-01,2018-01-15,2018-02-19,2018-05-28,2018-07-04,2018-09-03,2018-10-08,2018-11-12,2018-11-22,2018-12-25
2019-01-01,2019-01-21,2019-02-18,2019-05-27,2019-07-04,2019-09-02,2019-10-14,2019-11-11,2019-11-28,2019-12-25
2020-01-01,2020-01-20,2020-02-17,2020-05-25,2020-07-04,2020-09-07,2020-10-12,2020-11-11,2020-11-26,2020-12-25
2021-01-01,2021-01-18,2021-02-15,2021-05-31,2021-07-05,2021-09-06,2021-10-11,2021-11-11,2021-11-25,2021-12-25
2022-01-01,2022-01-17,2022-02-21,2022-05-30,2022-07-04,2022-09-05,2022-10-10,2022-11-11,2022-11-24,2022-12-26
2023-01-02,2023-01-16,2023-02-20,2023-05-29,2023-07-04,2023-09-04,2023-10-09,2023-11-11,2023-11-23,2023-12-25
2024-01-01,2024-01-15,2024-02-19,2024-05-27,2024-07-04,2024-09-02,2024-10-14,2024-11-11,2024-11-28,2024-12-25
2025-01-01,2025-01-20,2025-02-17,2025-05-26,2025-07-04,2025-09-01,2025-10-13,2025-11-11,2025-11-27,2025-12-25
2026-01-01,2026-01-19,2026-02-16,2026-05-25,2026-07-04,2026-09-07,2026-10-12,2026-11-11,2026-11-26,2026-12-25
2027-01-01,2027-01-18,2027-02-15,2027-05-31,2027-07-05,2027-09-06,2027-10-11,2027-11-11,2027-11-25,2027-12-25
2028-01-01,2028-01-17,2028-02-21,2028-05-29,2028-07-04,2028-09-04,2028-10-09,2028-11-11,2028-11-23,2028-12-25
2029-01-01,2029-01-15,2029-02-19,2029-05-28,2029-07-04,2029-09-03,2029-10-08,2029-11-12,2029-11-22,2029-12-25
2030-01-01,2030-01-21,2030-02-18,2030-05-27,2030-07-04,2030-09-02,2030-10-14,2030-11-11,2030-11-28,2030-12-25
2031-01-01,2031-01-20,2031-02-17,2031-05-26,2031-07-04,2031-09-01,2031-10-13,2031-11-11,2031-11-27,2031-12-25
2032-01-01,2032-01-19,2032-02-16,2032-05-31,2032-07-05,2032-09-06,2032-10-11,2032-11-11,2032-11-25,2032-12-25
2033-01-01,2033-01-17,2033-02-21,2033-05-30,2033-07-04,2033-09-05,2033-10-10,2033-11-11,2033-11-24,2033-12-26
2034-01-02,2034-01-16,2034-02-20,2034-05-29,2034-07-04,2034-09-04,2034-10-09,2034-11-11,2034-11-23,2034-12-25
2035-01-01,2035-01-15,2035-02-19,2035-05-28,2035-07-04,2035-09-03,2035-10-08,2035-11-12,2035-11-22,2035-12-25
2036-01-01,2036-01-21,2036-02-18,2036-05-26,2036-07-04,2036-09-01,2036-10-13,2036-11-11,2036-11-27,2036-12-25
2037-01-01,2037-01-19,2037-02-16,2037-05-25,2037-07-04,2037-09-07,2037-10-12,2037-11-11,2037-11-26,2037-12-25
2038-01-01,2038-01-18,2038-02-15,2038-05-31,2038-07-05,2038-09-06,2038-10-11,2038-11-11,2038-11-25,2038-12-25
2039-01-01,2039-01-17,2039-02-21,2039-05-30,2039-07-04,2039-09-05,2039-10-10,2039-11-11,2039-11-24,2039-12-26
2040-01-02,2040-01-16,2040-02-20,2040-05-28,2040-07-04,2040-09-03,2040-10-08,2040-11-12,2040-11-22,2040-12-25
2041-01-01,2041-01-21,2041-02-18,2041-05-27,2041-07-04,2041-09-02,2041-10-14,2041-11-11,2041-11-28,2041-12-25
2042-01-01,2042-01-20,2042-02-17,2042-05-26,2042-07-04,2042-09-01,2042-10-13,2042-11-11,2042-11-27,2042-12-25
2043-01-01,2043-01-19,2043-02-16,2043-05-25,2043-07-04,2043-09-07,2043-10-12,2043-11-11,2043-11-26,2043-12-25
